Time;ID;Type;Value
00:06.174;ID:2;RSSI long;-99
00:06.265;ID:2;RSSI;-100
00:06.266;ID:2;RSSI short;-100
00:06.267;ID:2;RSSI long;-99
00:06.359;ID:2;RSSI;-100
00:06.360;ID:2;RSSI short;-100
00:06.361;ID:2;RSSI long;-99
00:06.452;ID:2;RSSI;-95
00:06.454;ID:2;RSSI short;-100
00:06.455;ID:2;RSSI long;-99
00:06.546;ID:2;RSSI;-100
00:06.548;ID:2;RSSI short;-100
00:06.549;ID:2;RSSI long;-101
00:06.550;ID:2;Send;2
00:06.551;ID:2;Recieved;4
00:06.640;ID:2;RSSI;-95
00:06.641;ID:2;RSSI short;-99
00:06.642;ID:2;RSSI long;-99
00:06.737;ID:2;RSSI;-95
00:06.739;ID:2;RSSI short;-99
00:06.740;ID:2;RSSI long;-99
00:06.829;ID:2;RSSI;-95
00:06.830;ID:2;RSSI short;-99
00:06.831;ID:2;RSSI long;-99
00:06.921;ID:2;RSSI;-95
00:06.922;ID:2;RSSI short;-99
00:06.923;ID:2;RSSI long;-99
00:07.015;ID:2;RSSI;-95
00:07.016;ID:2;RSSI short;-98
00:07.017;ID:2;RSSI long;-99
00:07.109;ID:2;RSSI;-95
00:07.110;ID:2;RSSI short;-98
00:07.111;ID:2;RSSI long;-99
00:07.202;ID:2;RSSI;-100
00:07.204;ID:2;RSSI short;-98
00:07.205;ID:2;RSSI long;-99
00:07.296;ID:2;RSSI;-95
00:07.297;ID:2;RSSI short;-98
00:07.298;ID:2;RSSI long;-99
00:07.390;ID:2;RSSI;-95
00:07.391;ID:2;RSSI short;-98
00:07.392;ID:2;RSSI long;-99
00:07.484;ID:2;RSSI;-100
00:07.485;ID:2;RSSI short;-98
00:07.486;ID:2;RSSI long;-99
00:07.577;ID:2;RSSI;-95
00:07.578;ID:2;RSSI short;-97
00:07.580;ID:2;RSSI long;-99
00:07.671;ID:2;RSSI;-95
00:07.672;ID:2;RSSI short;-97
00:07.673;ID:2;RSSI long;-98
00:07.765;ID:2;RSSI;-100
00:07.766;ID:2;RSSI short;-97
00:07.767;ID:2;RSSI long;-98
00:07.859;ID:2;RSSI;-95
00:07.860;ID:2;RSSI short;-97
00:07.861;ID:2;RSSI long;-98
00:07.952;ID:2;RSSI;-95
00:07.953;ID:2;RSSI short;-97
00:07.955;ID:2;RSSI long;-98
00:08.046;ID:2;RSSI;-95
00:08.047;ID:2;RSSI short;-96
00:08.048;ID:2;RSSI long;-98
00:08.140;ID:2;RSSI;-100
00:08.141;ID:2;RSSI short;-96
00:08.142;ID:2;RSSI long;-98
00:08.234;ID:2;RSSI;-95
00:08.235;ID:2;RSSI short;-96
