Time;ID;Type;Value
00:06.132;ID:1;RSSI long;-100
00:06.224;ID:1;RSSI;-100
00:06.225;ID:1;RSSI short;-100
00:06.226;ID:1;RSSI long;-100
00:06.317;ID:1;RSSI;-100
00:06.319;ID:1;RSSI short;-100
00:06.320;ID:1;RSSI long;-100
00:06.411;ID:1;RSSI;-76
00:06.412;ID:1;RSSI short;-98
00:06.413;ID:1;RSSI long;-99
00:06.505;ID:1;RSSI;-76
00:06.506;ID:1;RSSI short;-97
00:06.507;ID:1;RSSI long;-99
00:06.598;ID:1;RSSI;-69
00:06.600;ID:1;RSSI short;-97
00:06.601;ID:1;RSSI long;-98
00:06.692;ID:1;RSSI;-76
00:06.693;ID:1;RSSI short;-96
00:06.694;ID:1;RSSI long;-99
00:06.696;ID:1;Send;2
00:06.697;ID:1;Recieved;4
00:06.786;ID:1;RSSI;-76
00:06.787;ID:1;RSSI short;-95
00:06.788;ID:1;RSSI long;-97
00:06.880;ID:1;RSSI;-100
00:06.881;ID:1;RSSI short;-95
00:06.882;ID:1;RSSI long;-97
00:06.973;ID:1;RSSI;-76
00:06.975;ID:1;RSSI short;-94
00:06.976;ID:1;RSSI long;-97
00:07.067;ID:1;RSSI;-76
00:07.068;ID:1;RSSI short;-92
00:07.070;ID:1;RSSI long;-97
00:07.161;ID:1;RSSI;-76
00:07.162;ID:1;RSSI short;-91
00:07.163;ID:1;RSSI long;-96
00:07.255;ID:1;RSSI;-100
00:07.256;ID:1;RSSI short;-91
00:07.257;ID:1;RSSI long;-96
00:07.348;ID:1;RSSI;-76
00:07.350;ID:1;RSSI short;-90
00:07.351;ID:1;RSSI long;-96
00:07.442;ID:1;RSSI;-100
00:07.443;ID:1;RSSI short;-90
00:07.445;ID:1;RSSI long;-96
00:07.536;ID:1;RSSI;-76
00:07.537;ID:1;RSSI short;-89
00:07.538;ID:1;RSSI long;-95
00:07.630;ID:1;RSSI;-76
00:07.631;ID:1;RSSI short;-88
00:07.632;ID:1;RSSI long;-95
00:07.723;ID:1;RSSI;-76
00:07.725;ID:1;RSSI short;-86
00:07.726;ID:1;RSSI long;-95
00:07.730;ID:1;Jamming detected by RSSI: changed to channel 17 ;
00:07.817;ID:1;RSSI;-100
00:07.819;ID:1;RSSI short;-100
00:07.820;ID:1;RSSI long;-100
00:07.911;ID:1;RSSI;-100
00:07.912;ID:1;RSSI short;-100
00:07.914;ID:1;RSSI long;-100
00:08.005;ID:1;RSSI;-100
00:08.006;ID:1;RSSI short;-100
00:08.007;ID:1;RSSI long;-100
00:08.099;ID:1;RSSI;-100
00:08.100;ID:1;RSSI short;-100
00:08.101;ID:1;RSSI long;-100
00:08.192;ID:1;RSSI;-100
00:08.194;ID:1;RSSI short;-100
00:08.195;ID:1;RSSI long;-100
00:08.286;ID:1;RSSI;-100
00:08.287;ID:1;RSSI short;-100
00:08.289;ID:1;RSSI long;-100
00:08.380;ID:1;RSSI;-100
00:08.381;ID:1;RSSI short;-100
00:08.382;ID:1;RSSI long;-100
00:08.474;ID:1;RSSI;-100
00:08.475;ID:1;RSSI short;-100
00:08.476;ID:1;RSSI long;-100
00:08.567;ID:1;RSSI;-100
00:08.569;ID:1;RSSI short;-100
00:08.570;ID:1;RSSI long;-100
00:08.661;ID:1;RSSI;-100
00:08.662;ID:1;RSSI short;-100
00:08.664;ID:1;RSSI long;-101
00:08.692;ID:1;Send;3
00:08.692;ID:1;Recieved;4
00:08.755;ID:1;RSSI;-100
00:08.756;ID:1;RSSI short;-100
00:08.758;ID:1;RSSI long;-100
00:08.852;ID:1;RSSI;-100
00:08.854;ID:1;RSSI short;-100
00:08.855;ID:1;RSSI long;-100
00:08.942;ID:1;RSSI;-100
00:08.944;ID:1;RSSI short;-100
00:08.945;ID:1;RSSI long;-100
00:09.036;ID:1;RSSI;-100
00:09.037;ID:1;RSSI short;-100
00:09.039;ID:1;RSSI long;-100
00:09.130;ID:1;RSSI;-100
00:09.131;ID:1;RSSI short;-100
00:09.132;ID:1;RSSI long;-100
00:09.224;ID:1;RSSI;-100
00:09.225;ID:1;RSSI short;-100
00:09.226;ID:1;RSSI long;-100
00:09.317;ID:1;RSSI;-100
00:09.319;ID:1;RSSI short;-100
00:09.320;ID:1;RSSI long;-100
00:09.411;ID:1;RSSI;-100
00:09.412;ID:1;RSSI short;-100
00:09.414;ID:1;RSSI long;-100
00:09.505;ID:1;RSSI;-100
00:09.506;ID:1;RSSI short;-100
00:09.507;ID:1;RSSI long;-100
00:09.599;ID:1;RSSI;-100
00:09.600;ID:1;RSSI short;-100
00:09.601;ID:1;RSSI long;-100
00:09.692;ID:1;RSSI;-100
00:09.694;ID:1;RSSI short;-100
00:09.695;ID:1;RSSI long;-100
00:09.786;ID:1;RSSI;-100
00:09.787;ID:1;RSSI short;-100
00:09.789;ID:1;RSSI long;-100
00:09.880;ID:1;RSSI;-100
00:09.881;ID:1;RSSI short;-100
00:09.882;ID:1;RSSI long;-100
00:09.974;ID:1;RSSI;-100
00:09.975;ID:1;RSSI short;-100
00:09.976;ID:1;RSSI long;-100
00:10.067;ID:1;RSSI;-100
00:10.069;ID:1;RSSI short;-100
00:10.070;ID:1;RSSI long;-100
00:10.161;ID:1;RSSI;-100
00:10.162;ID:1;RSSI short;-100
00:10.164;ID:1;RSSI long;-100
00:10.255;ID:1;RSSI;-100
00:10.256;ID:1;RSSI short;-100
00:10.257;ID:1;RSSI long;-100
00:10.349;ID:1;RSSI;-100
00:10.350;ID:1;RSSI short;-100
00:10.351;ID:1;RSSI long;-100
00:10.442;ID:1;RSSI;-100
