Time;ID;Type;Value
00:01.303;ID:3;RSSI;-100
00:01.305;ID:3;RSSI short;-100
00:01.306;ID:3;RSSI long;-100
00:01.397;ID:3;RSSI;-100
00:01.398;ID:3;RSSI short;-100
00:01.400;ID:3;RSSI long;-100
00:01.491;ID:3;RSSI;-100
00:01.492;ID:3;RSSI short;-100
00:01.493;ID:3;RSSI long;-100
00:01.584;ID:3;RSSI;-100
00:01.586;ID:3;RSSI short;-100
00:01.587;ID:3;RSSI long;-100
00:01.678;ID:3;RSSI;-100
00:01.680;ID:3;RSSI short;-100
00:01.681;ID:3;RSSI long;-100
00:01.772;ID:3;RSSI;-100
00:01.773;ID:3;RSSI short;-100
00:01.775;ID:3;RSSI long;-100
00:01.866;ID:3;RSSI;-100
00:01.867;ID:3;RSSI short;-100
00:01.868;ID:3;RSSI long;-100
00:01.959;ID:3;RSSI;-100
00:01.961;ID:3;RSSI short;-100
00:01.962;ID:3;RSSI long;-100
00:02.053;ID:3;RSSI;-100
00:02.055;ID:3;RSSI short;-100
00:02.056;ID:3;RSSI long;-100
00:02.147;ID:3;RSSI;-100
00:02.148;ID:3;RSSI short;-100
00:02.150;ID:3;RSSI long;-100
00:02.241;ID:3;RSSI;-100
00:02.242;ID:3;RSSI short;-100
00:02.243;ID:3;RSSI long;-100
00:02.334;ID:3;RSSI;-100
00:02.336;ID:3;RSSI short;-100
00:02.337;ID:3;RSSI long;-100
00:02.428;ID:3;RSSI;-100
00:02.430;ID:3;RSSI short;-100
00:02.431;ID:3;RSSI long;-100
00:02.522;ID:3;RSSI;-100
00:02.523;ID:3;RSSI short;-100
00:02.525;ID:3;RSSI long;-100
00:02.616;ID:3;RSSI;-100
00:02.617;ID:3;RSSI short;-100
00:02.618;ID:3;RSSI long;-100
00:02.709;ID:3;RSSI;-100
00:02.711;ID:3;RSSI short;-100
00:02.712;ID:3;RSSI long;-100
00:02.803;ID:3;RSSI;-100
00:02.805;ID:3;RSSI short;-100
00:02.806;ID:3;RSSI long;-100
00:02.897;ID:3;RSSI;-100
00:02.898;ID:3;RSSI short;-100
00:02.900;ID:3;RSSI long;-100
00:02.991;ID:3;RSSI;-100
00:02.992;ID:3;RSSI short;-100
00:02.993;ID:3;RSSI long;-100
00:03.084;ID:3;RSSI;-100
00:03.086;ID:3;RSSI short;-100
00:03.087;ID:3;RSSI long;-100
00:03.178;ID:3;RSSI;-100
00:03.180;ID:3;RSSI short;-100
00:03.181;ID:3;RSSI long;-100
00:03.209;ID:3;Send;0
00:03.210;ID:3;Recieved;2
00:03.272;ID:3;RSSI;-100
00:03.273;ID:3;RSSI short;-100
00:03.275;ID:3;RSSI long;-101
00:03.366;ID:3;RSSI;-100
00:03.367;ID:3;RSSI short;-100
00:03.368;ID:3;RSSI long;-100
00:03.459;ID:3;RSSI;-100
00:03.461;ID:3;RSSI short;-100
00:03.462;ID:3;RSSI long;-100
00:03.553;ID:3;RSSI;-100
00:03.555;ID:3;RSSI short;-100
00:03.556;ID:3;RSSI long;-100
00:03.647;ID:3;RSSI;-100
00:03.648;ID:3;RSSI short;-100
00:03.650;ID:3;RSSI long;-100
00:03.741;ID:3;RSSI;-100
00:03.742;ID:3;RSSI short;-100
00:03.743;ID:3;RSSI long;-100
00:03.834;ID:3;RSSI;-100
00:03.836;ID:3;RSSI short;-100
00:03.837;ID:3;RSSI long;-100
00:03.928;ID:3;RSSI;-100
00:03.930;ID:3;RSSI short;-100
00:03.931;ID:3;RSSI long;-100
00:04.022;ID:3;RSSI;-100
00:04.023;ID:3;RSSI short;-100
00:04.025;ID:3;RSSI long;-100
00:04.116;ID:3;RSSI;-100
00:04.117;ID:3;RSSI short;-100
00:04.118;ID:3;RSSI long;-100
00:04.209;ID:3;RSSI;-100
00:04.211;ID:3;RSSI short;-100
00:04.212;ID:3;RSSI long;-100
00:04.303;ID:3;RSSI;-100
00:04.305;ID:3;RSSI short;-100
00:04.306;ID:3;RSSI long;-100
00:04.397;ID:3;RSSI;-100
00:04.398;ID:3;RSSI short;-100
00:04.400;ID:3;RSSI long;-100
00:04.491;ID:3;RSSI;-100
00:04.492;ID:3;RSSI short;-100
00:04.493;ID:3;RSSI long;-100
00:04.584;ID:3;RSSI;-100
00:04.586;ID:3;RSSI short;-100
00:04.587;ID:3;RSSI long;-100
00:04.678;ID:3;RSSI;-100
00:04.680;ID:3;RSSI short;-100
00:04.681;ID:3;RSSI long;-100
00:04.772;ID:3;RSSI;-100
00:04.773;ID:3;RSSI short;-100
00:04.775;ID:3;RSSI long;-100
00:04.866;ID:3;RSSI;-100
00:04.867;ID:3;RSSI short;-100
00:04.868;ID:3;RSSI long;-100
00:04.959;ID:3;RSSI;-100
00:04.961;ID:3;RSSI short;-100
00:04.962;ID:3;RSSI long;-100
00:05.053;ID:3;RSSI;-100
00:05.055;ID:3;RSSI short;-100
00:05.056;ID:3;RSSI long;-100
00:05.147;ID:3;RSSI;-100
00:05.148;ID:3;RSSI short;-100
00:05.150;ID:3;RSSI long;-100
00:05.209;ID:3;Send;1
00:05.210;ID:3;Recieved;4
00:05.241;ID:3;RSSI;-100
00:05.242;ID:3;RSSI short;-100
00:05.243;ID:3;RSSI long;-101
00:05.334;ID:3;RSSI;-100
00:05.336;ID:3;RSSI short;-100
00:05.337;ID:3;RSSI long;-100
00:05.428;ID:3;RSSI;-100
00:05.430;ID:3;RSSI short;-100
00:05.431;ID:3;RSSI long;-100
00:05.522;ID:3;RSSI;-100
00:05.523;ID:3;RSSI short;-100
00:05.525;ID:3;RSSI long;-100
00:05.616;ID:3;RSSI;-100
00:05.617;ID:3;RSSI short;-100
00:05.618;ID:3;RSSI long;-100
00:05.709;ID:3;RSSI;-100
00:05.711;ID:3;RSSI short;-100
00:05.712;ID:3;RSSI long;-100
00:05.803;ID:3;RSSI;-100
00:05.805;ID:3;RSSI short;-100
00:05.806;ID:3;RSSI long;-100
00:05.897;ID:3;RSSI;-100
00:05.898;ID:3;RSSI short;-100
00:05.900;ID:3;RSSI long;-100
00:05.991;ID:3;RSSI;-100
00:05.992;ID:3;RSSI short;-100
00:05.993;ID:3;RSSI long;-100
00:06.084;ID:3;RSSI;-100
00:06.086;ID:3;RSSI short;-100
00:06.087;ID:3;RSSI long;-100
00:06.178;ID:3;RSSI;-100
00:06.180;ID:3;RSSI short;-100
00:06.181;ID:3;RSSI long;-100
00:06.272;ID:3;RSSI;-100
00:06.273;ID:3;RSSI short;-100
00:06.275;ID:3;RSSI long;-100
00:06.366;ID:3;RSSI;-100
00:06.367;ID:3;RSSI short;-100
00:06.368;ID:3;RSSI long;-100
00:06.459;ID:3;RSSI;-95
00:06.460;ID:3;RSSI short;-99
00:06.462;ID:3;RSSI long;-99
00:06.553;ID:3;RSSI;-95
00:06.554;ID:3;RSSI short;-99
00:06.555;ID:3;RSSI long;-99
00:06.647;ID:3;RSSI;-100
00:06.648;ID:3;RSSI short;-99
00:06.649;ID:3;RSSI long;-99
00:06.741;ID:3;RSSI;-95
00:06.742;ID:3;RSSI short;-99
00:06.743;ID:3;RSSI long;-99
00:06.834;ID:3;RSSI;-95
00:06.835;ID:3;RSSI short;-98
00:06.837;ID:3;RSSI long;-99
00:06.928;ID:3;RSSI;-95
00:06.929;ID:3;RSSI short;-98
00:06.930;ID:3;RSSI long;-99
00:07.022;ID:3;RSSI;-95
00:07.023;ID:3;RSSI short;-98
00:07.024;ID:3;RSSI long;-99
00:07.116;ID:3;RSSI;-95
00:07.117;ID:3;RSSI short;-98
00:07.118;ID:3;RSSI long;-99
00:07.209;ID:3;RSSI;-95
00:07.210;ID:3;RSSI short;-98
00:07.212;ID:3;RSSI long;-101
00:07.213;ID:3;Send;2
00:07.214;ID:3;Recieved;4
00:07.303;ID:3;RSSI;-98
00:07.304;ID:3;RSSI short;-98
00:07.306;ID:3;RSSI long;-99
00:07.401;ID:3;RSSI;-95
00:07.402;ID:3;RSSI short;-97
00:07.403;ID:3;RSSI long;-99
00:07.491;ID:3;RSSI;-95
00:07.492;ID:3;RSSI short;-97
00:07.493;ID:3;RSSI long;-99
00:07.584;ID:3;RSSI;-100
00:07.586;ID:3;RSSI short;-97
00:07.587;ID:3;RSSI long;-99
00:07.678;ID:3;RSSI;-95
00:07.679;ID:3;RSSI short;-97
00:07.680;ID:3;RSSI long;-99
00:07.772;ID:3;RSSI;-95
00:07.773;ID:3;RSSI short;-97
