RSSI;-96
RSSI short;-95
RSSI long;-95
RSSI;-95
RSSI short;-95
RSSI long;-95
RSSI;-95
RSSI short;-95
RSSI long;-95
RSSI;-96
RSSI short;-94
RSSI long;-95
RSSI;-95
RSSI short;-94
RSSI long;-95
RSSI;-82
RSSI short;-94
RSSI long;-95
RSSI;-96
RSSI short;-94
RSSI long;-95
RSSI;-95
RSSI short;-94
RSSI long;-95
RSSI;-90
RSSI short;-93
RSSI long;-94
RSSI;-96
RSSI short;-93
RSSI long;-94
Send;0
Recieved;2
RSSI;-82
RSSI short;-92
RSSI long;-96
RSSI;-95
RSSI short;-92
RSSI long;-94
RSSI;-95
RSSI short;-92
RSSI long;-94
RSSI;-96
RSSI short;-93
RSSI long;-94
RSSI;-96
RSSI short;-93
RSSI long;-94
RSSI;-96
RSSI short;-93
RSSI long;-94
RSSI;-95
RSSI short;-93
RSSI long;-94
RSSI;-95
RSSI short;-93
RSSI long;-94
RSSI;-94
RSSI short;-93
RSSI long;-94
RSSI;-93
RSSI short;-93
RSSI long;-94
RSSI;-93
RSSI short;-93
RSSI long;-94
Send;1
Recieved;4
RSSI;-93
RSSI short;-94
RSSI long;-94
RSSI;-92
RSSI short;-94
RSSI long;-94
RSSI;-90
RSSI short;-94
RSSI long;-93
RSSI;-93
RSSI short;-93
RSSI long;-93
RSSI;-93
RSSI short;-93
RSSI long;-93
RSSI;-92
RSSI short;-93
RSSI long;-93
RSSI;-92
RSSI short;-93
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-93
RSSI;-94
RSSI short;-92
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-94
Send;2
Recieved;6
RSSI;-93
RSSI short;-92
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-93
RSSI;-93
RSSI short;-93
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-93
RSSI;-92
RSSI short;-92
RSSI long;-93
RSSI;-94
RSSI short;-92
RSSI long;-93
RSSI;-93
RSSI short;-93
RSSI long;-93
RSSI;-93
RSSI short;-92
RSSI long;-92
RSSI;-91
RSSI short;-92
RSSI long;-92
RSSI;-92
RSSI short;-92
RSSI long;-93
Send;3
Recieved;8
RSSI;-90
RSSI short;-92
